"","Model"
"440","Boeing 727-22C"
"441","Boeing 727-22F"
"442","Boeing 727-22QC"
"443","Boeing 727-23"
"444","Boeing 727-230"
"445","Boeing 727-231"
"446","Boeing 727-231F Super 27"
"447","Boeing 727-232"
"448","Boeing 727-232F"
"449","Boeing 727-235"
"450","Boeing 727-23F"
"451","Boeing 727-243"
"452","Boeing 727-243F"
"453","Boeing 727-247"
"454","Boeing 727-24C"
"455","Boeing 727-25"
"456","Boeing 727-251"
"457","Boeing 727-256"
"458","Boeing 727-256 (Adv)"
"459","Boeing 727-259"
"460","Boeing 727-260"
"461","Boeing 727-264"
"462","Boeing 727-276 Adv."
"463","Boeing 727-277"
"464","Boeing 727-27C"
"465","Boeing 727-281"
"466","Boeing 727-282"
"467","Boeing 727-286"
"468","Boeing 727-287"
"469","Boeing 727-2A7"
"470","Boeing 727-2B6"
"471","Boeing 727-2D3"
"472","Boeing 727-2D6"
"473","Boeing 727-2F2"
"474","Boeing 727-2F2F"
"475","Boeing 727-2H3"
"476","Boeing 727-2H9"
"477","Boeing 727-2J0"
"478","Boeing 727-2J0 (F) Adv."
"479","Boeing 727-2J0 Adv."
"480","Boeing 727-2K3"
"481","Boeing 727-2L5"
"482","Boeing 727-2M7"
"483","Boeing 727-2M7F"
"484","Boeing 727-2N8"
"485","Boeing 727-30"
"486","Boeing 727-30C"
"487","Boeing 727-31"
"488","Boeing 727-41"
"489","Boeing 727-44"
"490","Boeing 727-44F"
"491","Boeing 727-46"
"492","Boeing 727-46F"
"493","Boeing 727-51"
"494","Boeing 727-51C"
"495","Boeing 727-59"
"496","Boeing 727-61"
"497","Boeing 727-64"
"498","Boeing 727-76"
"499","Boeing 727-78"
"500","Boeing 727-81"
"501","Boeing 727-82"
"502","Boeing 727-82C"
"503","Boeing 727-86"
"504","Boeing 727-89"
"505","Boeing 727-90C"
"506","Boeing 727-92C"
"507","Boeing 727-95"
"508","Boeing 737"
"509","Boeing 737 or 757"
"510","Boeing 737-112"
"511","Boeing 737-130"
"512","Boeing 737-159"
"513","Boeing 737-200"
"514","Boeing 737-201"
"515","Boeing 737-201 Adv."
"516","Boeing 737-204"
"517","Boeing 737-204 Adv."
"518","Boeing 737-204C"
"519","Boeing 737-205"
"520","Boeing 737-209"
"521","Boeing 737-210C"
"522","Boeing 737-219"
"523","Boeing 737-222"
"524","Boeing 737-228"
"525","Boeing 737-229C"
"526","Boeing 737-230"
"527","Boeing 737-230 Adv."
"528","Boeing 737-230C"
"529","Boeing 737-236"
"530","Boeing 737-236A"
"531","Boeing 737-241"
"532","Boeing 737-242 Adv."
"533","Boeing 737-242C"
"534","Boeing 737-244"
"535","Boeing 737-247"
"536","Boeing 737-248"
"537","Boeing 737-248C"
"538","Boeing 737-260"
